,name,juso,x,y,category,num
0,1987 루프탑라운지 홍대,서울특별시 마포구 잔다리로 20 5층,126.92081470000001,37.5509941,hongdae_restaurant,2
1,2SOYOU,서울특별시 마포구 와우산로11길 9-8 2층,126.92227959999998,37.5485714,hongdae_restaurant,4
2,Ichizen 이치젠,서울특별시 마포구 포은로 109 101호,126.9045365,37.5566766,hongdae_restaurant,2
3,Little Papa Pho,서울특별시 마포구 와우산로27길 24 뉴빌503,126.927186,37.5543324,hongdae_restaurant,4
4,The Famous Burger,서울특별시 마포구 잔다리로3안길 24 1층,126.9195821,37.5504836,hongdae_restaurant,4
5,감칠,서울특별시 마포구 동교로46길 23 2층,126.92606129999999,37.5623592,hongdae_restaurant,4
6,고기꾼김춘배,서울특별시 마포구 홍익로3길 36 3층,126.9215517,37.5528341,hongdae_restaurant,4
7,디에이프릴,서울특별시 마포구 성미산로29안길 19 1층,126.9232933,37.5653902,hongdae_restaurant,4
8,바류식당,서울특별시 마포구 홍익로5길 19 쏠라즈빌딩 1층,126.9213239,37.55403560000001,hongdae_restaurant,2
9,버프,서울특별시 마포구 어울마당로 55-2 정웅빌딩 2층,126.92087190000001,37.5503027,hongdae_restaurant,2
10,소이연남,서울특별시 마포구 동교로 267 1층,126.9253759,37.5635606,hongdae_restaurant,2
11,카페 도토리&다람쥐,서울특별시 마포구 와우산로 144-6 1층,126.92940549999999,37.553842100000004,hongdae_restaurant,8
12,킨지,서울특별시 마포구 동교로 227-11 2층,126.9235044,37.5607855,hongdae_restaurant,2
13,탄탄면공방 홍대본점,서울특별시 마포구 잔다리로6길 25 재륜빌딩,126.92053190000001,37.5523524,hongdae_restaurant,2
14,테이스티버거,서울특별시 마포구 독막로 67-11 행운빌딩 1층,126.92071580000001,37.548243400000004,hongdae_restaurant,2
15,하나노 오오카미,서울특별시 마포구 어울마당로 44 2층,126.92087690000001,37.5488576,hongdae_restaurant,2
16,홍대 스시메이진,서울특별시 마포구 양화로18길 3 삼양세븐스프링스,126.9246273,37.55713370000001,hongdae_restaurant,2
17,홍대 스앤샤,서울특별시 마포구 와우산로17길 24 2층,126.9216382,37.55029860000001,hongdae_restaurant,6
18,홍대 안녕파스타씨,서울특별시 마포구 잔다리로6길 36 동천빌딩,126.92113799999998,37.5522164,hongdae_restaurant,2
19,홍대 참치가,서울특별시 마포구 양화로 100-10 다내리빌딩,126.919018,37.5525683,hongdae_restaurant,2
20,홍대 혼카츠,서울특별시 마포구 와우산로21길 36-6 1층 102호,126.92205290000001,37.552664899999996,hongdae_restaurant,2
21,홍대우와,서울특별시 마포구 와우산로21길 21-16 2층,126.92222340000002,37.5517143,hongdae_restaurant,2
22,1984,서울특별시 마포구 동교로 194 혜원빌딩 1층,126.92283590000002,37.5573654,hongdae_cafe,2
23,2SOYOU,서울특별시 마포구 와우산로11길 9-8 2층,126.92227959999998,37.5485714,hongdae_cafe,4
24,KT&G 상상마당,서울특별시 마포구 어울마당로 65 상상마당빌딩,126.9210617,37.5509495,hongdae_cafe,1
25,The Famous Burger,서울특별시 마포구 잔다리로3안길 24 1층,126.9195821,37.5504836,hongdae_cafe,1
26,Zapangi,서울특별시 마포구 월드컵로13길 79 해오름 주상복합,126.9059131,37.5548347,hongdae_cafe,2
27,더페이머스버거,서울특별시 마포구 잔다리로3안길 24 1층,126.9195821,37.5504836,hongdae_cafe,1
28,설빙 홍대점,서울특별시 마포구 홍익로6길 15 삼주빌딩,126.9226397,37.5553189,hongdae_cafe,1
29,슈퍼커피홍대,서울특별시 마포구 홍익로 10 서교푸르지오,126.9237,37.5538,hongdae_cafe,1
30,어글리베이커리,서울특별시 마포구 포은로 131 1층,126.90363290000002,37.5585388,hongdae_cafe,2
31,연남동 테일러커피,서울특별시 마포구 성미산로 189 1층,126.9263399,37.5631113,hongdae_cafe,2
32,카페 도토리&다람쥐,서울특별시 마포구 와우산로 144-6 1층,126.9294055,37.5538421,hongdae_cafe,7
33,투소유,서울특별시 마포구 와우산로11길 9-8 2층,126.92227959999998,37.5485714,hongdae_cafe,2
34,폴인팬케이크,서울특별시 마포구 와우산로29가길 86 2층,126.9247637,37.5537759,hongdae_cafe,3
35,홍대 Coalmine,서울특별시 마포구 잔다리로 43 1층,126.9187268,37.5520695,hongdae_cafe,7
36,홍대우와,서울특별시 마포구 와우산로21길 21-16 2층,126.92222340000002,37.5517143,hongdae_cafe,1
