,Unnamed: 0,_id,y,tags,language,x,category,timestamp,display_url,name,juso,id
0,0,"ObjectId(""5cd6e82b7bda6c426441ce46"")",37.5538421,"[""전지적참견시점"",""도토리앤다람쥐"",""전참시"",""본방사수"",""카더가든""]",ko,126.9294055,hongdae_restaurant,1557554934,https://scontent-icn1-1.cdninstagram.com/vp/225350bd6b831df7c8e0989ba68c4ec5/5D656D1A/t51.2885-15/e35/58410985_168018074216296_2359492592583926628_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,카페 도토리&다람쥐,서울특별시 마포구 와우산로 144-6 1층,2041241199398736877
1,1,"ObjectId(""5cd6e82b7bda6c426441ce47"")",37.5522164,"[""홍대맛집"",""로제파스타"",""서울여행"",""선팔하면맞팔"",""양식"",""고구마크림피자"",""daily"",""합격"",""파스타"",""상수"",""데일리"",""상수역맛집"",""서울"",""고구마"",""서울데이트"",""jmt"",""피자"",""홍대에"",""먹방"",""먹스타그램"",""먹스타"",""일상"",""맛집추천"",""맞팔"",""맛집"",""상수맛집"",""꽃게"",""소통"",""서울맛집"",""안녕파스타씨""]",ko,126.92113799999998,hongdae_restaurant,1557554828,https://scontent-icn1-1.cdninstagram.com/vp/d57c6414eef1748307680407f3cece23/5D5235A3/t51.2885-15/e35/58718090_419350405567209_8190037793136968093_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,홍대 안녕파스타씨,서울특별시 마포구 잔다리로6길 36 동천빌딩,2041240304653563050
2,2,"ObjectId(""5cd6e8377bda6c426441ce4d"")",37.5485714,"[""일상"",""2soyou"",""소통"",""daily"",""데일리"",""cafe"",""brunch""]",ko,126.92227959999998,hongdae_restaurant,1557539719,https://scontent-icn1-1.cdninstagram.com/vp/a8566f36436109058c39578a6592890d/5D566087/t51.2885-15/e35/s1080x1080/59303972_138938793855282_685398820195880162_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,2SOYOU,서울특별시 마포구 와우산로11길 9-8 2층,2041113565026208856
3,3,"ObjectId(""5cd6e8387bda6c426441ce4f"")",37.5623592,"[""먹스타"",""홍대맛집"",""연남동맛집"",""맛집추천"",""홍대"",""홍대와인"",""존맛탱"",""홍대술집"",""연남동술집"",""연남동와인바"",""물레방아"",""홍대와인바"",""와인바"",""존맛"",""먹방"",""먹스타그램"",""연남동물레방아"",""연남동와인"",""맛집"",""홍대물레방아"",""차곡이_맛집추천""]",ko,126.9260613,hongdae_restaurant,1557537576,https://scontent-icn1-1.cdninstagram.com/vp/9dd3632b41c0b6d938135e54e8040bd8/5D77758C/t51.2885-15/e35/58660044_407039010141560_7723390200800224596_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,감칠,서울특별시 마포구 동교로46길 23 2층,2041095587173353072
4,4,"ObjectId(""5cd6e8397bda6c426441ce50"")",37.5538421,"[""도토리앤다람쥐""]",ko,126.9294055,hongdae_restaurant,1557532988,https://scontent-icn1-1.cdninstagram.com/vp/69b7b87109311e46cd29121e3e36cf95/5D6863B5/t51.2885-15/e35/58409410_350852188953187_2168032755544651453_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,카페 도토리&다람쥐,서울특별시 마포구 와우산로 144-6 1층,2041057096883881262
5,5,"ObjectId(""5cd6e8487bda6c426441ce52"")",37.5635606,"[""나이쏘이"",""홍대맛집"",""연남동맛집"",""존맛탱"",""먹스타그램"",""갈비국수"",""푸드스타그램"",""jmt""]",ko,126.9253759,hongdae_restaurant,1557489859,https://scontent-icn1-1.cdninstagram.com/vp/6addf039d6c7b53a1e91517c92296af3/5D769F85/t51.2885-15/e35/s1080x1080/59734959_359603978004142_1173966606370416328_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,소이연남,서울특별시 마포구 동교로 267 1층,2040695311002184841
6,6,"ObjectId(""5cd6e8497bda6c426441ce53"")",37.5482434,"[""또와야지"",""홍대맛집"",""테이"",""상수동맛집"",""테이스티버거"",""구웃"",""크라켄버거"",""에그마니버거"",""맛나요"",""수제버거""]",ko,126.9207158,hongdae_restaurant,1557488458,https://scontent-icn1-1.cdninstagram.com/vp/e1db5258286eb0689a7f924f85ea98a6/5D74ED0E/t51.2885-15/e35/58745494_2342816449334373_4523657755622310103_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,테이스티버거,서울특별시 마포구 독막로 67-11 행운빌딩 1층,2040683554777602965
7,7,"ObjectId(""5cd6e8507bda6c426441ce55"")",37.5566766,"[""ichizen"",""망원동맛집"",""이치젠"",""망리단길"",""바질토마토"",""아이폰xs"",""텐동"",""멀리서다급하게대답하기""]",ko,126.9045365,hongdae_restaurant,1557478234,https://scontent-icn1-1.cdninstagram.com/vp/46878550af3dbf5464063900248035e1/5D57F2C3/t51.2885-15/e35/p1080x1080/58410902_437032556856810_5972235700213631778_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,Ichizen 이치젠,서울특별시 마포구 포은로 109 101호,2040597790396492609
8,8,"ObjectId(""5cd6e8537bda6c426441ce58"")",37.5509941,"[""홍대맛집"",""칵테일"",""lounge"",""루프탑"",""서울"",""촬영"",""합정맛집"",""1987rooftoplounge"",""selfie"",""일상"",""홍대"",""강남맛집"",""야경"",""대관"",""여름"",""연남동카페"",""라운지"",""맛집"",""rooftop"",""1987루프탑라운지홍대"",""브런치"",""1987루프탑라운지"",""논현"",""1987"",""JMT"",""데이트코스"",""분위기"",""bar"",""서울맛집""]",ko,126.9208147,hongdae_restaurant,1557473051,https://scontent-icn1-1.cdninstagram.com/vp/eee287b741d79a5ade4163850737ee02/5D64C554/t51.2885-15/e35/58409026_454763941945465_2121583768751149457_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,1987 루프탑라운지 홍대,서울특별시 마포구 잔다리로 20 5층,2040554314314082799
9,9,"ObjectId(""5cd6e8537bda6c426441ce59"")",37.5528341,"[""고기꾼김춘배홍대본점"",""홍대맛집"",""마포맛집"",""선팔하면맞팔"",""돼지고기"",""갈비살"",""instadaily"",""좋아요반사"",""서교동맛집"",""맛집탐방"",""instalike"",""instagood"",""고기맛집"",""목살"",""차돌된장찌개"",""오겹살"",""먹방"",""먹스타그램"",""팔로우"",""일상"",""foodporn"",""맛집추천"",""홍대"",""홍대입구맛집"",""좋아요"",""맛집"",""서교동"",""고기꾼김춘배"",""소통""]",ko,126.9215517,hongdae_restaurant,1557472843,https://scontent-icn1-1.cdninstagram.com/vp/3f2578d37065b1abf57598c59221757e/5D6E358E/t51.2885-15/e35/s1080x1080/58410051_183549709192275_685553844224247645_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,고기꾼김춘배,서울특별시 마포구 홍익로3길 36 3층,2040552564895672447
