;_id;y;tags;language;x;category;timestamp;display_url;name;juso;id
13;"ObjectId(""5cd6f1157bda6c426441cf5c"")";37.553842100000004;"[""도토리앤다람쥐""]";ko;126.92940549999999;hongdae_cafe;1557367283;https://scontent-icn1-1.cdninstagram.com/vp/5cf210f1d8a2b2bf7558a1e589acf5ca/5D654F69/t51.2885-15/e35/58666179_2249044208508179_4122719991321827760_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;카페 도토리&다람쥐;서울특별시 마포구 와우산로 144-6 1층;2039667062595246988
14;"ObjectId(""5cd6f1207bda6c426441cf5e"")";37.5485714;"[""팬케이크맛집"",""홍대카페"",""팬케이크"",""2soyou"",""아이폰x"",""카페스타그램"",""투소유"",""상수카페""]";ko;126.92227959999998;hongdae_cafe;1557324931;https://scontent-icn1-1.cdninstagram.com/vp/125b025f7abf979fb8b3f6a8b7628398/5D60A1F4/t51.2885-15/e35/58410450_179098069673806_5690122565082581892_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;투소유;서울특별시 마포구 와우산로11길 9-8 2층;2039311790249345570
15;"ObjectId(""5cd6f12e7bda6c426441cf5f"")";37.5485714;"[""일상"",""2soyou"",""소통"",""데일리"",""daily"",""어버이날""]";ko;126.92227959999998;hongdae_cafe;1557300094;https://scontent-icn1-1.cdninstagram.com/vp/ec02329892683b821bc48496d5744e15/5D5B65D1/t51.2885-15/e35/s1080x1080/58409237_533555200508006_9015867680613518131_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;2SOYOU;서울특별시 마포구 와우산로11길 9-8 2층;2039103442334452664
16;"ObjectId(""5cd6f12f7bda6c426441cf60"")";37.5520695;"[""서교동카페"",""합정카페"",""홍대카페"",""콜마인""]";ko;126.91872679999999;hongdae_cafe;1557298525;https://scontent-icn1-1.cdninstagram.com/vp/035d12bc6f41666650a3dfa27e276388/5D74A4A5/t51.2885-15/e35/s1080x1080/59551161_2184598731623988_5805625796113727406_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;홍대 Coalmine;서울특별시 마포구 잔다리로 43 1층;2039090284674986843
17;"ObjectId(""5cd6f1347bda6c426441cf62"")";37.5548347;"[""자판기카페"",""홍대카페"",""망원동"",""한국카페"",""한국"",""홍대"",""카페"",""망원동카페"",""카페스타그램"",""한국여행""]";ko;126.9059131;hongdae_cafe;1557286693;https://scontent-icn1-1.cdninstagram.com/vp/6c46d01596b57f614713d92a3c9dcfdb/5D6ADF54/t51.2885-15/e35/s1080x1080/57583289_389280811675049_1504456217335706671_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;Zapangi;서울특별시 마포구 월드컵로13길 79 해오름 주상복합;2038991025867039343
18;"ObjectId(""5cd6f13a7bda6c426441cf63"")";37.553842100000004;"[""도토리앤다람쥐""]";ko;126.92940549999999;hongdae_cafe;1557275575;https://scontent-icn1-1.cdninstagram.com/vp/6dca4732517e62c5ec713a0d66827603/5D6C445C/t51.2885-15/e35/59374338_426349161257710_8221023760251770136_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;카페 도토리&다람쥐;서울특별시 마포구 와우산로 144-6 1층;2038897764158545629
19;"ObjectId(""5cd6f13c7bda6c426441cf64"")";37.5585388;"[""흑임자커스터드크림팥빵"",""홍대"",""어글리베이커리"",""망원동""]";ko;126.90363290000002;hongdae_cafe;1557269223;https://scontent-icn1-1.cdninstagram.com/vp/1069de4472a6ea8d5d67cd215dfa49bb/5D6A4A19/t51.2885-15/e35/s1080x1080/58917185_349806702339684_7934188791334935048_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;어글리베이커리;서울특별시 마포구 포은로 131 1층;2038844475527448279
20;"ObjectId(""5cd6f13d7bda6c426441cf66"")";37.563111299999996;[];ko;126.9263399;hongdae_cafe;1557245282;https://scontent-icn1-1.cdninstagram.com/vp/f3e0fdeb27020bc8d4434daee4cdc54f/5CD95ED5/t51.2885-15/e15/59390147_2214904681936598_8485498999325622982_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;연남동 테일러커피;서울특별시 마포구 성미산로 189 1층;2038641598259838964
21;"ObjectId(""5cd6f1407bda6c426441cf67"")";37.5537759;[];ko;126.92476370000001;hongdae_cafe;1557235504;https://scontent-icn1-1.cdninstagram.com/vp/1ca0fdcf87afb3c45a24772fa0cfd35b/5D5FD5BB/t51.2885-15/e35/s1080x1080/59633061_2697679026940527_9010244092910289238_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;폴인팬케이크;서울특별시 마포구 와우산로29가길 86 2층;2038561622386516118
22;"ObjectId(""5cd6f1497bda6c426441cf68"")";37.5537759;"[""홍대카페"",""ポルインパンケーキ"",""ソウル"",""폴인패케이크"",""パンケーキ"",""이팝나무"",""弘大カフェ""]";ko;126.92476370000001;hongdae_cafe;1557222926;https://scontent-icn1-1.cdninstagram.com/vp/572f984ecc6923d00afff4922f564cc9/5D5FC934/t51.2885-15/e35/s1080x1080/58409618_425759678222837_1054918797212542217_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;폴인팬케이크;서울특별시 마포구 와우산로29가길 86 2층;2038456111656861361
